Cell name	Sample name	Stage	CD4 T cell subsets	Cell_type	Clusters PMN	Myeloid cells cluster	Expressed genes	Mitochondrial reads percent	Ribosomal reads percent	Total count
40183	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	1397	1.7738	0.46849999999999997	2988
688955	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1340	1.0006999999999999	0.90060000000000007	2998
124251	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1323	1.3952	1.2443	2652
579211	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1205	1.2053	1.0923	2655
19343	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1302	3.9087999999999998	1.0992999999999999	2456
350952	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	1332	1.8842000000000001	0.36020000000000002	3609
161388	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1220	0.93389999999999995	0.6724	2677
408638	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1357	0.93880000000000008	0.93880000000000008	2663
184372	ONSET_EAE	ONSET	N/A	Lymphocytes	N/A	N/A	1409	0.83450000000000002	0.61680000000000001	2756
151544	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	961	2.9369999999999998	1.0745	2792
329330	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	1251	0.88439999999999996	0.45860000000000001	3053
58763	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	1334	1.5841999999999998	0.65690000000000004	2588
829703	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1196	1.4297	0.81140000000000001	2588
154087	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1241	1.3034999999999999	1.2663	2685
613637	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1343	1.7301	0.88429999999999997	2601
113037	ONSET_EAE	ONSET	N/A	Lymphocytes	N/A	N/A	1265	2.5823	1.2078	2401
185639	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1239	1.0595000000000001	0.81499999999999995	2454
756459	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1320	1.9172000000000002	0.69020000000000004	2608
655338	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1330	0.88109999999999999	0.84720000000000006	2951
508417	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1203	1.6509	0.66819999999999991	2544
700987	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	1275	1.6051	1.0451999999999999	2679
525108	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1179	1.2068000000000001	1.2470000000000001	2486
434895	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1451	0.85850000000000004	0.58379999999999999	2912
528662	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1156	3.1892999999999998	1.2515000000000001	2477
93697	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1420	0.88219999999999998	1.0739999999999998	2607
375440	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	1382	1.9783999999999999	0.39569999999999994	2780
26701	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1306	1.7680999999999998	0.53449999999999998	2432
214240	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1286	0.51519999999999999	1.1164000000000001	2329
128875	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1198	1.3141	0.59350000000000003	2359
658883	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1270	1.5546	0.38869999999999999	2573
212403	ONSET_EAE	ONSET	N/A	Lymphocytes	N/A	N/A	1414	0.76390000000000002	0.76390000000000002	2880
768556	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1291	0.64939999999999998	1.3751	2618
760943	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1117	2.8955000000000002	0.71339999999999992	2383
833630	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1184	0.78539999999999999	0.86809999999999998	2419
842594	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1300	0.49119999999999997	0.90050000000000008	2443
728081	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1215	0.90089999999999992	1.0295999999999998	2331
340892	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1148	1.1513	0.87340000000000007	2519
101764	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1011	1.7294	0.9405	3296
767862	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1319	0.7972999999999999	0.6714	2383
538144	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1207	0.48570000000000002	0.92720000000000002	2265
43380	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1333	1.2218	0.4073	2701
199228	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1268	1.1691	0.85430000000000006	2224
868228	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1183	2.4011	0.84480000000000011	2249
302656	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1243	0.73130000000000006	1.0512000000000001	2188
280109	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1063	2.4241999999999999	0.80809999999999993	2970
660076	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	1359	1.4133	0.80210000000000004	2618
516107	ONSET_EAE	ONSET	2	Lymphocytes	N/A	N/A	1083	0.86870000000000003	1.0730999999999999	1957
861639	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1277	3.9950999999999999	0.65900000000000003	2428
85740	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1158	0.86020000000000008	1.0323	2325
266144	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1207	1.6072	0.43119999999999997	2551
761561	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1185	2.9666999999999999	0.73029999999999995	2191
845500	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1314	1.1988000000000001	0.74409999999999998	2419
699637	ONSET_EAE	ONSET	1	Lymphocytes	N/A	N/A	1133	2.7254	0.33540000000000003	2385
