Cell name	Sample name	Condition	Stage	General_classification	PMN clusters	Expressed genes	Mitochondrial reads percent	Ribosomal reads percent	Total count
580179	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1967	0.52900000000000003	0.25390000000000001	9452
601890	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1740	0.68440000000000001	0.2281	7452
20117	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1901	0.3004	0.19589999999999999	7656
47051	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1721	0.62470000000000003	0.063699999999999993	7844
248162	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1735	0.55719999999999992	0.083600000000000008	7179
865855	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1869	0.39589999999999997	0.1142	13133
297206	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1714	0.29949999999999999	0.16930000000000001	7680
212395	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1605	0.53610000000000002	0.058600000000000006	11937
129246	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	2001	0.3967	0.19840000000000002	7562
321162	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1785	0.32900000000000001	0.1371	7294
521852	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1650	0.50049999999999994	0.11550000000000001	10390
409869	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1690	1.0425	0.0998	9017
276029	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1835	0.3634	0.24229999999999999	7429
235951	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1644	0.30929999999999996	0.16600000000000001	13257
285538	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1716	0.45030000000000003	0.095500000000000002	7329
63407	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1879	1.0210000000000001	0.18229999999999999	8227
871136	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1694	1.248	0.14859999999999998	6731
183857	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1655	0.40419999999999995	0.123	11380
94121	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1902	0.46360000000000001	0.2833	7765
230880	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1658	0.68599999999999994	0.1749	7434
87770	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1846	0.55059999999999998	0.28909999999999997	7265
843736	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1663	0.5323	0.23519999999999999	8078
203226	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1574	0.59360000000000002	0.159	9434
796509	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1786	0.52969999999999995	0.1457	7552
879859	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1772	0.71940000000000004	0.1419	9869
799413	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1640	0.82330000000000003	0.13519999999999999	8138
631315	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1695	1.2455000000000001	0.1245	8029
837053	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1823	0.30690000000000001	0.1023	7819
134858	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1619	0.60619999999999996	0.1331	6763
706551	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1736	0.438	0.0292	13699
139683	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1529	0.50660000000000005	0.060299999999999999	8290
21225	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1620	1.0186000000000002	0.082900000000000001	8443
645171	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1715	0.53910000000000002	0.21559999999999999	10202
690167	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1597	0.37340000000000001	0.1867	7499
269060	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1603	0.55719999999999992	0.13669999999999999	9512
112862	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1667	0.84960000000000002	0.1671	7180
39983	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1835	0.37469999999999998	0.21580000000000002	8806
211600	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1610	0.75360000000000005	0.1018	9819
113098	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1805	0.56169999999999998	0.16600000000000001	7833
449558	CHRONIC_CTRL	CTRL	CHRONIC	Neutrophils	Cluster_1	1675	0.75560000000000005	0.1333	6750
