"cell_id","cluster"
"X532665","1"
"X460827","1"
"X881297","1"
"X719071","1"
"X752385","1"
"X879487","1"
"X711982","2"
"X105863","1"
"X870775","1"
"X649861","1"
"X556775","1"
"X735430","1"
"X860303","1"
"X854977","1"
"X378940","1"
"X10100","1"
"X526545","1"
"X515298","1"
"X794443","1"
"X16094","1"
"X831699","1"
"X516137","1"
"X63456","1"
"X336834","1"
"X768163","1"
"X744383","1"
"X767622","1"
"X499801","1"
"X760263","1"
"X700832","2"
"X59354","1"
"X65474","2"
"X349822","1"
"X23073","1"
"X770944","1"
"X304006","1"
"X771741","1"
"X461844","1"
"X67319","1"
"X269769","1"
"X692606","1"
"X13114","1"
"X699892","1"
"X270452","1"
"X519265","1"
"X485228","1"
"X616988","1"
"X829323","2"
"X114712","1"
"X301291","3"
"X12453","1"
"X774189","1"
"X731267","2"
"X230056","1"
"X641491","1"
"X750322","2"
"X392334","1"
"X345344","1"
"X408195","1"
"X280161","1"
"X661744","1"
"X588799","1"
"X433641","1"
"X609810","1"
"X741046","1"
"X524120","1"
"X617755","1"
"X335120","1"
"X696780","2"
"X876958","1"
"X156446","2"
"X461335","1"
"X311761","1"
"X461249","2"
"X496597","2"
"X567221","2"
"X57923","1"
"X312117","1"
"X438287","1"
"X347815","1"
"X445683","1"
"X301607","1"
"X580786","1"
"X284519","1"
"X300011","1"
"X447410","1"
"X426540","1"
"X401330","1"
"X817531","1"
"X435536","1"
"X375053","1"
"X789902","1"
"X4247","1"
"X313662","1"
"X488625","2"
"X69678","1"
"X607964","1"
"X431669","2"
"X490032","1"
"X375174","1"
"X293901","1"
"X191669","1"
"X871873","1"
"X55285","1"
"X51243","1"
"X638143","1"
"X38252","1"
"X842157","1"
"X290509","1"
"X520067","1"
"X791846","1"
"X604522","1"
"X559223","1"
"X516286","1"
"X728633","1"
"X339246","1"
"X516797","1"
"X309195","1"
"X520605","1"
"X66360","2"
"X782770","1"
"X52287","1"
"X24669","1"
"X188869","1"
"X665360","1"
"X733973","1"
"X62019","1"
"X699503","1"
"X147790","1"
"X100762","1"
"X723863","1"
"X564166","1"
"X537034","1"
"X522246","1"
"X515877","1"
"X713143","1"
"X850773","1"
"X166387","3"
"X474498","1"
"X23230","1"
"X68631","1"
"X570748","1"
"X189621","1"
"X261496","1"
"X473673","1"
"X712727","1"
"X773989","1"
"X182942","1"
"X497713","2"
"X334020","1"
"X862965","1"
"X378183","2"
"X765571","2"
"X614878","1"
"X554931","1"
"X282606","1"
"X603394","1"
"X176680","2"
"X75798","1"
"X797380","1"
"X663275","1"
"X127025","1"
"X246301","1"
"X463467","1"
"X100392","1"
"X217372","1"
"X263844","1"
"X683971","1"
"X488910","2"
"X871955","1"
"X173941","1"
"X97049","1"
"X126064","1"
"X449601","1"
"X25826","1"
"X362752","1"
"X175216","1"
"X867328","1"
"X801609","1"
"X52176","1"
"X41926","1"
"X95193","1"
"X554133","2"
"X427693","1"
"X132667","1"
"X135806","2"
"X9305","1"
"X120785","1"
"X388416","1"
"X70725","1"
"X562772","1"
"X148715","2"
"X709514","1"
"X22483","1"
"X298520","2"
"X155701","1"
"X211313","1"
"X373539","1"
"X572609","1"
"X238409","1"
"X498998","2"
"X489660","1"
"X252811","1"
"X608795","1"
"X353794","1"
"X719652","2"
"X277851","2"
"X652111","1"
"X11498","1"
"X147421","1"
"X466698","1"
"X104499","1"
"X489279","1"
"X397005","1"
"X674647","1"
"X561906","1"
"X431648","1"
"X476220","1"
"X191006","1"
"X81886","1"
"X256590","1"
"X281057","1"
"X235917","1"
"X196160","1"
"X630057","1"
"X826788","1"
"X362050","1"
"X427402","1"
"X428828","1"
"X119447","1"
"X382990","1"
"X870788","1"
"X473338","1"
"X671701","1"
"X689522","1"
"X258534","1"
"X218432","1"
"X132413","1"
"X758806","1"
"X134828","1"
"X679191","1"
"X425612","1"
"X288670","1"
"X35344","1"
"X193275","1"
"X609447","1"
"X149503","1"
"X150762","1"
"X801022","1"
"X62406","1"
"X96575","1"
"X117728","1"
"X274504","1"
"X318036","1"
